Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
"90179/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CDTAP -Revisão de língua inglesa para publicações em repositórios internacionais";SERVICOS;250110;14/07/2023;10/01/2024;180;"SAPS.DGCI.CDTAP";"371/2023";"Médio";1;10/01/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";12645;"REDAÇÃO / REVISÃO DE TEXTO";"UN";20.000,0000;10,00000;200.000,0000
"90173/2023";Aprovada;Edição;"SERVIÇO - CGCON.DIFMEX - SERVICO DE VIGILANCIA ARMADA";SERVICOS;250110;01/03/2024;30/08/2024;182;"SAA.CGCON.DIFMEX";"216/2023";"Baixo";1;01/09/2024;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;"";"";23507;"PRESTAÇÃO DE SERVIÇO DE  VIGILÂNCIA E SEGURANÇA - ORGÂNICA -44 HORAS SEMANAIS DIURNAS";"POSTO";1.103.327,1200;12,00000;13.239.925,4400
"90160/2023";Aprovada;;"SERVIÇO - CGCON.DIFSEP - Prestação de serviço de correios (ECT)";SERVICOS;250110;06/07/2023;02/01/2024;180;"SAA.CGCON.DIFSEP";"163/2023";"Baixo";1;02/01/2024;Serviço;681;SERVIÇOS POSTAL E DE CORREIO;"";"";4286;"COMUNICAÇÃO POR CORREIO";"UN";118.843,3700;12,00000;1.426.120,4400
"90149/2023";Aprovada;;"SERVIÇO - DATASUS -25000.121008/2023-34 -  upgrade, atualização e suporte técnico de licenças";CONTRATACOES_TIC;250110;19/01/2024;19/07/2024;182;"SEIDIGI.DATASUS.CGIE";"453/2023";"Médio";1;19/07/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";111.080,4000;12,00000;1.332.964,8000
"90146/2023";Aprovada;;"SERVIÇO - DATASUS -  Arquitetura de serviço remoto seguro - arquitetura Secure Access Service Edge ";CONTRATACOES_TIC;250110;23/05/2024;21/11/2024;182;"SEIDIGI.DATASUS.CGIE";"474/2023";"Baixo";1;21/11/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";12.000.000,0000;1,00000;12.000.000,0000
"90142/2023";Aprovada;;"SERVIÇO - DATASUS- 25000.153909/2020-42-serviços de Retrofit/Modernização do Datacenter de Brasília";SERVICOS;250110;01/03/2024;28/08/2024;180;"SEIDIGI.DATASUS.CGIE";"395/2023";"Baixo";1;28/08/2024;Serviço;162;SERVIÇOS  DE  GERENCIAMENTO  EM TECNOLOGIA DA INFORMAÇÃO  E COMUNICAÇÃO (TIC);"";"";27014;"SERVIÇOS DE GERENCIAMENTO DE INFRAESTRUTURA DE TECNOLOGIA DAINFORMAÇÃO E COMUNICAÇÃO (TIC)";"";5.800.000,0000;1,00000;5.800.000,0000
"90336/2023";Aprovada;;"SERVIÇO - COGEP.CODEP- ações de desenvolvimento relacionadas ao Tema Contrato de Gestão";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"531/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;31,00000;77.500,0000
"90239/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COPID - Manual de apoio a aplicação multidimensional da pessoa idosa";SERVICOS;250110;01/09/2023;29/02/2024;181;"SAPS.DGCI.COPID";"291/2023";"Baixo";1;29/02/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";0,5000;200.000,00000;100.000,0000
"90099/2023";Aprovada;Preparação;"SERVIÇO DE ENGENHARIA - CGENG -SUBSTAÇÃO BLOCO O";OBRAS_SERV_ESP_ENGENHARIA;250110;29/12/2023;27/06/2024;181;"SAA.CGENG";"491/2023";"Médio";1;28/06/2024;Material;6120;TRANSFORMADORES PARA ESTAÇÃO DE FORÇA E DE DISTRIBUIÇÃO;"12878";"TRANSFORMADOR A SECO";477045;"TIPO: TRIFÁSICO, POTÊNCIA NOMINAL: 1.000, TENSÃO PRIMÁRIA: 13,8/13,2/12,6/12,0/11,4/10,8/10,2, TENSÃO SECUNDÁRIA: 127/220, FREQUÊNCIA: 60, APLICAÇÃO: DISTRIBUIÇÃO DE ENERGIA, GRAU PROTEÇÃO: IP-00";"UN";100.000,0000;2,00000;200.000,0000
"90099/2023";Aprovada;Preparação;"SERVIÇO DE ENGENHARIA - CGENG -SUBSTAÇÃO BLOCO O";OBRAS_SERV_ESP_ENGENHARIA;250110;29/12/2023;27/06/2024;181;"SAA.CGENG";"491/2023";"Médio";1;28/06/2024;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;"";"";1627;"MANUTENÇÃO / REFORMA PREDIAL";"UN";800.000,0000;1,00000;800.000,0000
"90223/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD - Folha de atendimento";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI. CGCRIAJ";"340/2023";"Médio";1;01/03/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";3,0000;1.000,00000;3.000,0000
"90234/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COPID - Contratação  gráfica e distribuição de Material de orientação ";SERVICOS;250110;01/11/2023;30/04/2024;181;"SAPS.DGCI.COPID";"306/2023";"Médio";1;30/04/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";5,0000;100.000,00000;500.000,0000
"90232/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD - Caderneta da Criança";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI. CGCRIAJ";"327/2023";"Médio";1;01/03/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";10,5000;6.538.368,00000;68.652.864,0000
"357/2024";Aprovada;Edição;"Contratação da CEF como mandatária da União no PAC";SERVICOS;250110;30/01/2024;21/03/2024;51;"SAES.DAHU";"48/2024";"Alto";1;21/03/2024;Serviço;711;SERVIÇOS DE INTERMEDIAÇÃO FINANCEIRA,EXCETO SERVIÇO BANCÁRIODE INVESTIMENTO,SERVIÇOS DE SEGUROS E DE PENSÕES;"";"";20362;"PRESTAÇÃO DE SERVIÇOS BANCÁRIOS";"";389.475.750,0000;1,00000;389.475.750,0000
"90327/2023";Aprovada;Encerrada;"SERVIÇO - COGEP.CODEP - ações de desenvolvimento relacionadas Estratégia, Projetos e Processos";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"539/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;50,00000;125.000,0000
"90326/2023";Aprovada;;"SERVIÇO - COGEP.CODEP - ações de desenvolvimento relacionadas ao Tema Farmacotecnia";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"540/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;5,00000;12.500,0000
"90325/2023";Aprovada;;"SERVIÇO - COGEP.CODEP - ações de desenvolvimento relacionadas ao Tema Genética Humana e Médica";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"541/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;10,00000;25.000,0000
"90323/2023";Aprovada;Encerrada;"ações de desenvolvimento relacionadas ao Tema Gestão de Pessoas";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"543/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;20,00000;50.000,0000
"90315/2023";Aprovada;;"SERVIÇO - COGEP.CODEP - ações de des. relacionadas ao Tema Metodologia e Técnicas da Computação";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"551/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;10,00000;25.000,0000
"90320/2023";Aprovada;Encerrada;"SERVIÇO - COGEP.CODEP - ações de des. relacionadas ao Tema Inovação";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"546/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;50,00000;125.000,0000
"90265/2023";Aprovada;;"SERVIÇO - COGEP -  contratação de Empresa para realização Exames periódicos - ";SERVICOS;250110;03/01/2024;01/07/2024;180;"SAA.COGEP.COASS";"258/2023";"Alto";1;01/07/2024;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;"";"";8818;"MEDICINA TRABALHO - PERÍCIA SERVIÇO MÉDICO / ENGENHARIA";"UN";460,0000;2.351,00000;1.081.460,0000
"90252/2023";Aprovada;;"SERVIÇO - ARQUIVO -Manutenção Preventiva e Corretiva para o Sistema";SERVICOS;250110;19/07/2023;15/01/2024;180;"SAA.CGDI.ARQUIVO";"302/2023";"Baixo";1;15/01/2024;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;"";"";5444;"MANUTENÇÃO DE ARQUIVOS FIXOS, GIRATÓRIOS OU MÓVEIS";"UN";600.000,0000;1,00000;600.000,0000
"90249/2023";Aprovada;;"SERVIÇO -  DATASUS - Contempla a prestação de serviços de mensuração de sistemas em Pontos de Função";CONTRATACOES_TIC;250110;19/01/2024;17/07/2024;180;"SEIDIGI.DATASUS.CGSIO";"11/2023";"Médio";1;17/07/2024;Serviço;115;SERVIÇOS DE MENSURAÇÃO DE SOFTWARE;"";"";26034;"MENSURAÇÃO DE SOFTWARE";"PF";13,0400;60.000,00000;782.400,0000
"90240/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COPID - material de apoio às equipes das principais síndrome geriátricas";SERVICOS;250110;01/09/2023;29/02/2024;181;"SAPS.DGCI.COPID";"288/2023";"Médio";1;29/02/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";5,0000;100.000,00000;500.000,0000
"90238/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COPID -  material de apoio multidimensional da pessoa idosa";SERVICOS;250110;01/09/2023;29/02/2024;181;"SAPS.DGCI.COPID";"294/2023";"Médio";1;29/02/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";0,2000;20.000.000,00000;4.000.000,0000
"90218/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD - Politica Nacional de Atenção Integral à Saúde de Adolescentes ";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAPS.DGCI. CGCRIAJ";"354/2023";"Médio";1;30/12/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";4,0000;30.000,00000;120.000,0000
"90217/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD - Atualização do Proteger e Cuidar da SAÚDE DE ADOLESCENTES ";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAPS.DGCI. CGCRIAJ";"355/2023";"Médio";1;30/12/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";8,0000;30.000,00000;240.000,0000
"90207/2023";Aprovada;;"SERVIÇO - CGENG - manutenção preventiva, corretiva e preditiva do sistema de climatização das unidad";SERVICOS;250110;03/04/2024;30/09/2024;180;"SAA.CGENG";"200/2023";"Alto";1;30/09/2024;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;"";"";1627;"MANUTENÇÃO / REFORMA PREDIAL";"UN";67.000,0000;12,00000;804.000,0000
"90206/2023";Aprovada;;"SERVIÇO - RETROFIT - execução do Retrofit Bloco G e Anexo, com fornecimento de material, mão de obra";SERVICOS;250110;03/05/2024;31/10/2024;181;"SAA.CGENG";"226/2023";"Alto";1;31/10/2024;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;"";"";1627;"MANUTENÇÃO / REFORMA PREDIAL";"UN";130.000.000,0000;1,00000;130.000.000,0000
"90196/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COSMU - Qualificação da Rede de Atenção à Saúde, de mortalidade materna";SERVICOS;250110;07/07/2023;03/01/2024;180;"SAPS.DGCI.CGESMU";"324/2023";"Médio";1;03/01/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";9,6000;110.000,00000;1.056.000,0000
"90193/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COSMU - Cadernos de Atenção Básica";SERVICOS;250110;29/12/2023;28/06/2024;182;"SAPS.DGCI.CGESMU";"329/2023";"Médio";1;30/06/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";8,0000;200.000,00000;1.600.000,0000
"90192/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COSMU - Contratação de empresa para editoração, impressão gráfica  ";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI.CGESMU";"331/2023";"Médio";1;03/03/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";8,0000;200.000,00000;1.600.000,0000
"90181/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CDTAP - Guia de manejo clínico da dengue adulto e criança (mesa tipo calendário)";SERVICOS;250110;21/07/2023;17/01/2024;180;"SAPS.DGCI.CDTAP";"369/2023";"Baixo";1;17/01/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";55,0000;1.800,00000;99.000,0000
"90178/2023";Aprovada;;"SERVIÇO - CGCON.DIFMEX -Técnico especializado para a revisão e atualização Plano de Resíduos sólidos";SERVICOS;250110;12/04/2024;10/10/2024;181;"SAA.CGCON.DIFMEX";"202/2023";"Baixo";1;10/10/2024;Serviço;949;OUTROS SERVIÇOS DE PROTEÇÃO AMBIENTAL N.C.P;"";"";21423;"PLANO GERENCIAMENTO RESÍDUOS SÓLIDOS";"UN";10.000,0000;1,00000;10.000,0000
"90177/2023";Aprovada;;"SERVIÇO - CGCON.DIFMEX - PRESTACAO DE SERVICOS DE COPEIRAGEM";SERVICOS;250110;31/05/2024;29/11/2024;182;"SAA.CGCON.DIFMEX";"211/2023";"Baixo";1;01/12/2024;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;"";"";14397;"PRESTAÇÃO DE SERVIÇOS DE COPEIRAGEM";"UN";460.121,9100;12,00000;5.521.462,9200
"90169/2023";Aprovada;;"SERVIÇO - CGCON.DIFMEX - PRESTAÇÃO DE SERVIÇOS DE PORTARIA E RECEPÇÃO";SERVICOS;250110;04/04/2024;01/10/2024;180;"SAA.CGCON.DIFMEX";"225/2023";"Baixo";1;01/10/2024;Serviço;851;SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL;"";"";8729;"PRESTAÇÃO DE SERVIÇOS DE PORTARIA / RECEPÇÃO";"UN";213.145,8200;12,00000;2.557.749,8400
"90162/2023";Aprovada;;"SERVIÇO - CGCON.DIFSEP - Prestação de serviços de controle sanitário integrado no combate a pragas";SERVICOS;250110;27/07/2023;23/01/2024;180;"SAA.CGCON.DIFSEP";"164/2023";"Baixo";1;23/01/2024;Serviço;943;SERVIÇOS DE SANEAMENTO E SERVIÇOS SIMILARES;"";"";3417;"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"MÊS";1.166,6600;12,00000;13.999,9200
"90159/2023";Aprovada;Preparação;"SERVIÇO - CGCON.DIFSEP - Prestação de Serviço de passagens internacionais no Ministério da Saúde.";SERVICOS;250110;22/12/2023;21/06/2024;182;"SAA.CGCON.DIFSEP";"168/2023";"Baixo";1;22/06/2024;Serviço;678;SERVIÇOS DE AGÊNCIA DE VIAGENS, OPERADORAS DE TURISMO E GUIATURÍSTICO;"";"";3719;"PRESTAÇAO DE SERVIÇOS DE AGENCIAMENTO DE VIAGENS";"UN";471.153,3400;12,00000;5.653.840,0800
"90155/2023";Aprovada;;"SERVIÇO - CGCON.DIFSEP - MANUTENÇÃO DE VEÍCULOS LEVES PESADOS";SERVICOS;250110;05/10/2023;02/04/2024;180;"SAA.CGCON.DIFSEP";"165/2023";"Baixo";1;01/04/2024;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;"";"";3565;"MANUTENÇÃO DE VEÍCULOS LEVES E PESADOS";"UN";7.500,0000;12,00000;90.000,0000
"90143/2023";Aprovada;;"SERVIÇO - DATASUS - 25000.010150/2023-57 - serviços de Retrofit/Modernização do Datacenter Rio de Ja";SERVICOS;250110;21/03/2024;17/09/2024;180;"SEIDIGI.DATASUS.CGIE";"411/2023";"Baixo";1;17/09/2024;Serviço;162;SERVIÇOS  DE  GERENCIAMENTO  EM TECNOLOGIA DA INFORMAÇÃO  E COMUNICAÇÃO (TIC);"";"";27014;"SERVIÇOS DE GERENCIAMENTO DE INFRAESTRUTURA DE TECNOLOGIA DAINFORMAÇÃO E COMUNICAÇÃO (TIC)";"";5.800.000,0000;1,00000;5.800.000,0000
"90141/2023";Aprovada;;"SERVIÇO - DATASUS - 25000.167008/2022-08, operação de infraestrutura e atendimento a usuários de Tec";SERVICOS;250110;16/10/2023;22/03/2024;158;"SEIDIGI.DATASUS.CGIE";"481/2023";"Baixo";1;26/03/2024;Serviço;162;SERVIÇOS  DE  GERENCIAMENTO  EM TECNOLOGIA DA INFORMAÇÃO  E COMUNICAÇÃO (TIC);"";"";26980;"CENTRAL DE SERVIÇOS DE TIC";"VAL/MÊS";789.717,9600;24,00000;18.953.231,0400
"90141/2023";Aprovada;;"SERVIÇO - DATASUS - 25000.167008/2022-08, operação de infraestrutura e atendimento a usuários de Tec";SERVICOS;250110;16/10/2023;22/03/2024;158;"SEIDIGI.DATASUS.CGIE";"481/2023";"Baixo";2;26/03/2024;Serviço;162;SERVIÇOS  DE  GERENCIAMENTO  EM TECNOLOGIA DA INFORMAÇÃO  E COMUNICAÇÃO (TIC);"";"";27014;"SERVIÇOS DE GERENCIAMENTO DE INFRAESTRUTURA DE TECNOLOGIA DAINFORMAÇÃO E COMUNICAÇÃO (TIC)";"UN";1.560.836,6900;24,00000;37.460.080,5600
"90140/2023";Aprovada;;"SERVIÇO - DATASUS - 25000.121008/2023-34 - serviços de upgrade, atualização e  licenças de software";SERVICOS;250110;19/01/2024;19/07/2024;182;"SEIDIGI.DATASUS.CGIE";"453/2023";"Médio";2;19/07/2024;Serviço;166;SERVIÇOS DE MANUTENÇÃO E INSTALAÇÃO DE EQUIPAMENTOS DE TIC;"";"";27740;"SERVIÇOS DE GARANTIA DE EQUIPAMENTOS DE TIC";"MÊS";1.607,1400;12,00000;19.285,6800
"90134/2023";Aprovada;;"SERVIÇO ? DATASUS - Solução de proteção de segurança para API de sistemas";CONTRATACOES_TIC;250110;03/07/2024;30/12/2024;180;"SEIDIGI.DATASUS.CGIE";"514/2023";"Baixo";1;30/12/2024;Serviço;164;SERVIÇOS DE INTEGRAÇÃO DE SISTEMAS EM TECNOLOGIA DA INFORMA-ÇÃO E COMUNICAÇÃO (TIC);"";"";27081;"SERVIÇOS DE INTEGRAÇÃO DE  SISTEMAS EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC)";"UN";8.000.000,0000;1,00000;8.000.000,0000
"90122/2023";Aprovada;;"22.	SERVIÇO ? CGENG -  reforma da sede da SEMS-AP";SERVICOS;250110;31/05/2024;29/11/2024;182;"SAA.CGENG";"503/2023";"Médio";1;29/11/2024;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;"";"";1627;"MANUTENÇÃO / REFORMA PREDIAL";"UN";8.000.000,0000;1,00000;8.000.000,0000
"90338/2023";Aprovada;;"SERVIÇO - COGEP.CODEP - ações de desenvolvimento relacionadas ao Tema Comunicação Institucional";BENS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"529/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;74,00000;185.000,0000
"90117/2023";Aprovada;;"SERVIÇO - CGENG -  Reforma do Auditório Omilton Visconde";SERVICOS;250110;01/11/2023;30/04/2024;181;"SAA.CGENG";"488/2023";"Médio";1;30/04/2024;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;"";"";1627;"MANUTENÇÃO / REFORMA PREDIAL";"UN";750.000,0000;1,00000;750.000,0000
"90110/2023";Aprovada;;"BENS - COGEP COAPE - ações de desenvolvimento relacionadas ao tema Administração de Setores Espec.";BENS;250110;02/02/2024;01/08/2024;181;"SAA.COGEP.CODEP";"521/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;2,00000;5.000,0000
"90055/2023";Aprovada;;"SERVIÇOS - CGMAP.COMAP";SERVICOS;250110;05/07/2023;01/01/2024;180;"SAA.CGINFRA.COMAP";"364/2023";"Alto";1;01/01/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";27685;"SERVIÇO DE ALMOXARIFADO  VIRTUAL DE MATERIAL DE CONSUMO ADMINISTRATIVO - GERENCIAMENTO DE MEIOS LOGÍSTICOS";"UN";3.100.000,0000;1,00000;3.100.000,0000
"90060/2023";Aprovada;;"SERVIÇO - COGEP.COASS - serviços de apoio operacional às atividades assistenciais e educativas";SERVICOS;250110;03/01/2024;01/07/2024;180;"SAA.COGEP.COASS";"311/2023";"Alto";1;24/11/2024;Serviço;921;SERVIÇOS DE EDUCAÇÃO PRIMÁRIA/BÁSICO;"";"";12769;"SERVIÇO EDUCACIONAL - BÁSICO / FUNDAMENTAL";"UN";200.856,3500;60,00000;12.051.381,0000
"371/2024";Aprovada;Preparação;"Contratação de serviços de secretariado e vigilância";SERVICOS;250110;17/07/2024;02/09/2024;47;"SAA.CGCON.DIFMEX";"252/2024";"Médio";1;02/09/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";16578;"SECRETÁRIA";"UN";1.600.000,0000;12,00000;19.200.000,0000
"371/2024";Aprovada;Preparação;"Contratação de serviços de secretariado e vigilância";SERVICOS;250110;17/07/2024;02/09/2024;47;"SAA.CGCON.DIFMEX";"253/2024";"Alto";1;02/09/2024;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;"";"";23507;"PRESTAÇÃO DE SERVIÇO DE  VIGILÂNCIA E SEGURANÇA - ORGÂNICA -44 HORAS SEMANAIS DIURNAS";"POSTO";1.393.385,9800;12,00000;16.720.631,7600
"90103/2023";Aprovada;Edição;"SERVIÇO DE ENGENHARIA - CGENG - STOP FIRE";OBRAS_SERV_ESP_ENGENHARIA;250110;04/08/2023;31/01/2024;180;"SAA.CGENG";"485/2023";"Médio";1;31/01/2024;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;"";"";1627;"MANUTENÇÃO / REFORMA PREDIAL";"UN";1.000.000,0000;1,00000;1.000.000,0000
"90107/2023";Aprovada;;"SERVIÇO - ASCER - CONTRAÇÃO DE EMPRESA ESPECIALIZADA EM EVENTO";SERVICOS;250110;22/12/2023;20/06/2024;181;"GM.ASCER";"382/2023";"Baixo";1;20/06/2024;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;"";"";14591;"PROMOÇÃO DE EVENTO";"UN";290.830.194,0700;1,00000;290.830.194,0700
"90116/2023";Aprovada;;"SERVIÇO - CASAI BSB -  OPERADOR DE CARGA (ESTIVA)";SERVICOS;250110;04/12/2023;31/05/2024;179;"SESAI.CASAI.BSB";"483/2023";"Médio";1;01/06/2024;Serviço;671;SERVIÇOS DE CARGA E DESCARGA;"";"";15890;"ESTIVA - CARREGADOR / OPERADOR CARGA";"UN";117.580,0400;1,00000;117.580,0400
